subjectId,studentId,score
ICT2.001,22BI13438,8.5
ICT3.002,22BI13390,4.0
ICT3.002,22BI13323,14.0
ICT2.001,22BI13404,17.4
ICT3.002,22BI13329,4.6
ICT3.002,22BI13400,5.0
ICT3.002,BA12-022,12.56
ICT2.001,22BI13274,5.0
ICT3.002,22BI13019,10.5
ICT2.001,22BI13393,3.0
ICT2.001,22BI13123,9.0
ICT2.001,22BI13454,12.5
ICT2.001,22BI13055,15.11
ICT2.001,22BI13001,12.2
ICT2.001,22BI13325,13.0
ICT2.001,22BI13022,12.1
ICT2.001,22BI13015,8.0
ICT2.001,22BI13478,5.0
ICT2.001,22BI13019,6.0
ICT3.002,BA12-062,1.43
ICT2.001,22BI13127,7.0
ICT3.002,BA12-015,15.67
ICT2.001,22BI13222,6.2
ICT3.002,BA12-007,13.5
ICT3.002,22BI13282,9.0
ICT3.002,22BI13420,4.779999999999999
ICT3.002,22BI13094,10.0
ICT2.001,BA12-003,12.4
ICT2.001,22BI13404,4.0
ICT2.001,22BI13482,19.55
ICT2.001,22BI13307,4.2
ICT3.002,22BI13485,4.854
ICT2.001,22BI13201,4.3
ICT3.002,22BI13480,14.55
ICT2.001,22BI13419,4.247
ICT3.002,22BI13016,4.5
ICT3.002,BA12-068,12.5
ICT2.001,BA12-062,4.5
ICT2.001,BA12-127,4.4
ICT2.001,BA12-057,14.35
ICT2.001,22BI13454,4.3
ICT3.002,BA12-095,5.3
ICT3.002,22BI13149,5.5
ICT3.002,BA12-102,6.6
ICT2.001,BA12-035,7.45
ICT3.002,BA12-034,2.36
ICT3.002,22BI13123,5.0
ICT3.002,BA12-082,7.3
ICT3.002,22BI13094,4.3
ICT2.001,22BI13390,8.0
ICT2.001,BI12-123,4.84
ICT3.002,BA12-034,12.0
ICT3.002,22BI13122,2.0
ICT3.002,BI12-130,4.6
ICT2.001,22BI13222,4.4799999999999995
ICT3.002,BI12-183,1.0
ICT2.001,22BI13029,14.1
ICT3.002,BI12-144,13.0
ICT3.002,BI12-183,4.0
ICT3.002,BI12-217,0.0
ICT2.001,22BI13068,4.59
ICT2.001,22BI13032,14.15
ICT3.002,BI12-388,10.0
ICT2.001,22BI13052,5.8
ICT2.001,22BI13052,16.5
ICT3.002,BI12-300,3.0
ICT2.001,22BI13055,14.0
ICT3.002,BI12-252,5.0
ICT3.002,BI12-233,18.0
ICT2.001,22BI13106,4.4
ICT2.001,22BI13206,13.0
ICT2.001,22BI13244,4.425
ICT3.002,22BI13001,2.0
ICT2.001,22BI13045,4.43
ICT3.002,BA12-090,4.75
ICT2.001,22BI13186,4.6
ICT3.002,BA12-088,4.7
ICT3.002,BA12-095,4.0
ICT3.002,BA12-193,15.0
ICT3.002,22BI13222,9.5
ICT3.002,22BI13161,6.15
ICT3.002,22BI13244,4.25
ICT2.001,22BI13242,13.5
ICT3.002,BA12-126,4.2935
ICT2.001,22BI13264,4.0
ICT3.002,22BI13434,2.0
ICT2.001,22BI13274,6.8
ICT2.001,22BI13012,6.0
ICT3.002,BA12-150,3.9
ICT2.001,22BI13096,2.4
ICT3.002,BA12-092,4.6
ICT2.001,22BI13454,18.2
ICT3.002,BA12-126,4.4325
ICT3.002,22BI13077,19.15
ICT3.002,BA12-089,14.51
ICT2.001,22BI13055,18.3
ICT2.001,22BI13095,4.54
ICT2.001,22BI13242,16.0
ICT3.002,22BI13104,6.0
ICT3.002,22BI13392,2.0
ICT3.002,BA12-022,19.0
ICT2.001,22BI13420,3.0
ICT3.002,BA12-084,4.83
ICT3.002,22BI13419,4.0
ICT2.001,22BI13259,15.0
ICT2.001,22BI13332,11.2
ICT2.001,BA12-082,16.9
ICT2.001,22BI13042,10.5
ICT2.001,22BI13128,0.0
ICT2.001,BA12-003,14.0
ICT3.002,22BI13426,16.4
ICT3.002,22BI13022,4.34
ICT3.002,22BI13342,4.5
ICT3.002,22BI13443,4.4
ICT3.002,22BI13244,4.5
ICT2.001,22BI13346,4.2
ICT2.001,22BI13331,1.9
ICT3.002,22BI13122,4.4
ICT3.002,BA12-050,14.25
ICT3.002,BA12-126,8.0
ICT2.001,22BI13052,14.3
ICT3.002,22BI13367,4.0
ICT3.002,22BI13426,2.0
ICT2.001,22BI13045,10.0
ICT3.002,22BI13420,8.0
ICT3.002,22BI13274,7.0
ICT3.002,22BI13435,12.6
ICT2.001,22BI13146,6.4
ICT3.002,22BI13148,19.3
ICT3.002,22BI13434,7.43
ICT3.002,22BI13149,4.65
ICT3.002,22BI13426,19.0
ICT3.002,BA12-006,14.5
ICT3.002,BI12-210,6.8
ICT3.002,22BI13419,15.5
ICT2.001,22BI13022,14.0
ICT2.001,22BI13012,15.5
ICT3.002,22BI13240,14.2
ICT3.002,22BI13126,20.0
ICT3.002,22BI13446,12.8
ICT2.001,22BI13115,4.63
ICT3.002,22BI13407,4.66
ICT2.001,22BI13001,4.62
ICT3.002,22BI13406,2.0
ICT2.001,22BI13012,11.6
ICT2.001,22BI13463,16.0
ICT2.001,22BI13023,13.6
ICT2.001,22BI13454,4.6
ICT3.002,22BI13453,3.5
ICT2.001,22BI13259,19.2
ICT2.001,22BI13034,14.8
ICT3.002,22BI13344,15.5
ICT3.002,22BI13446,15.0
ICT2.001,22BI13013,4.611
ICT3.002,22BI13443,11.5
ICT2.001,22BI13045,4.614
ICT3.002,22BI13323,18.5
ICT2.001,22BI13301,11.5
ICT3.002,BA12-050,4.6
ICT3.002,BI12-028,4.8
ICT3.002,BA12-102,9.5
ICT2.001,22BI13474,4.25
ICT3.002,BA12-092,3.2
ICT3.002,22BI13009,16.5
ICT3.002,BI12-100,10.0
ICT2.001,22BI13201,6.8
ICT3.002,BI12-123,4.5
ICT3.002,BI11-234,4.0
ICT2.001,22BI13259,4.4
ICT3.002,22BI13148,7.2
ICT3.002,22BI13259,8.8
ICT3.002,BA12-192,14.0
ICT2.001,22BI13276,6.1
ICT3.002,BI12-210,20.0
ICT3.002,22BI13242,4.4
ICT3.002,BI12-336,7.2
ICT2.001,22BI13115,8.7
ICT3.002,BI12-305,7.4
ICT2.001,22BI13092,19.130000000000003
ICT3.002,BI12-277,16.0
ICT3.002,22BI13259,17.0
ICT2.001,22BI13093,19.5
ICT2.001,22BI13301,6.85
ICT2.001,22BI13016,4.5
ICT2.001,22BI13264,9.9
ICT2.001,22BI13104,6.6
ICT2.001,22BI13172,4.35
ICT2.001,22BI13184,7.0
ICT2.001,22BI13191,7.555
ICT3.002,22BI13264,9.15
ICT2.001,22BI13146,4.3
ICT3.002,BA12-138,4.379
ICT3.002,BA12-138,8.5
ICT3.002,BA12-139,7.7
ICT3.002,BA12-093,4.45
ICT3.002,BA12-034,19.3
ICT3.002,BA12-003,4.0
ICT3.002,22BI13394,4.0
ICT3.002,22BI13340,4.6
ICT2.001,22BI13321,20.0
